
UC;OLD_NIO;NEW_NIO;DATA
108087450;44250124;44250124;6/21/2024
109217594;44252021;44252021;6/21/2024
107521423;44252001;44252001;6/26/2024
107515695;44252025;44252025;6/21/2024
108007740;44251705;44251705;6/27/2024
109219597;44250122;44250122;6/21/2024
110070496;44252026;44252026;6/27/2024
109965604;44251940;44251940;6/21/2024
109032578;44250123;44250123;6/21/2024
107833387;44251945;44251945;6/21/2024
108029247;44251944;44251944;6/21/2024
109890698;44250129;44250129;6/21/2024
108189295;44251701;44251701;6/27/2024
108268543;44251998;44251998;6/26/2024
107537060;44252004;44252004;6/26/2024
107538920;44252002;44252002;6/26/2024
108623238;44250126;44250126;6/21/2024
107566931;44250127;44250127;6/21/2024
107658453;44251941;44251941;6/21/2024
107539977;44250121;44250121;6/21/2024
107508753;44252003;44252003;6/26/2024
107509334;44251942;44251942;6/21/2024
107692449;44250128;44250128;6/21/2024
107600447;44252000;44252000;6/26/2024
107692422;44251938;44251938;6/21/2024
107566907;44251946;44251946;6/21/2024
109043693;44252024;44252024;6/21/2024
103044698;44250482;44250482;6/28/2024
103030824;44250481;44250481;6/28/2024
103024069;44250487;44250487;6/26/2024
103258760;44250490;44250490;6/28/2024
103018883;44252612;44252612;6/28/2024
103044361;44250488;44250488;6/28/2024
103017143;44250484;44250484;6/26/2024
103553223;44250489;44250489;6/28/2024
103044590;44250485;44250485;6/28/2024
32278080;44000218;44000218;7/10/2024
36944602;44252647;44252647;7/10/2024
36944696;44252655;44252655;7/10/2024
62734474;44000780;44000780;7/10/2024
30429803;44000659;44000659;7/10/2024
59844434;44000951;44000951;7/10/2024
8388750;44250885;44250885;7/10/2024
