
UC;NEW_NIO;OLD_NIO;DATA
86528556;45457362;961931873;10/18/2024
83792589;45256991;240933176;10/18/2024
86496018;45459523;330330028;10/18/2024
86178768;44260514;223531809;10/28/2024
46373489;44014030;400406844;10/23/2024
112957021;45257828;341133900;10/28/2024
92725970;45461561;340131502;10/23/2024
92789315;44286200;324030351;10/23/2024
87127750;44287088;250130510;10/23/2024
72595086;45001203;262314528;10/28/2024
92877508;44254064;324030976;10/28/2024
20224001;44706386;893640263;10/28/2024
113489080;44252680;44252680;9/9/2024
8362637;44715744;860540485;10/28/2024
44007388;45462029;371733193;10/28/2024
96151420;44014787;301100733;10/28/2024
78085977;44015691;282619939;10/23/2024
85856436;44252688;44252688;9/13/2024
43580890;44015280;203704467;10/28/2024
54136423;45290811;233130542;10/23/2024
8101345;45457358;810630802;10/18/2024
41926560;45291197;331933757;10/23/2024
109465059;45764613;411979073;10/23/2024
39490041;44018233;850913316;10/23/2024
71520910;44286949;833130222;10/28/2024
113511922;44253496;44253496;9/13/2024
113352964;44255141;44255141;9/24/2024
113555245;44255138;44255138;9/24/2024
68091591;44014642;264700474;10/25/2024
89165896;45460421;421178662;10/18/2024
95802908;45001256;411873413;10/28/2024
96065168;45461991;341333871;10/28/2024
67613330;45257012;401630644;10/18/2024
8143684;44252831;44252831;9/4/2024
98787446;45457342;312831498;10/18/2024
8213836;44015309;752201852;10/28/2024
87008912;45462049;310530784;10/23/2024
113430400;44252807;44252807;8/27/2024
8299650;44015838;742600107;10/23/2024
39257002;44022023;982601992;10/28/2024
69515530;45290852;932130002;10/23/2024
84786809;44715324;854040216;10/28/2024
52807240;45000399;831115680;10/23/2024
113483066;44252847;44252847;9/6/2024
90007549;44571812;400569562;10/23/2024
111313023;45458983;421978110;10/18/2024
95675841;44022050;850906424;10/28/2024
103172068;44013373;334110638;10/25/2024
111283680;45458978;421977732;10/18/2024
20958781;45000361;910401432;10/23/2024
55155561;45461473;232830907;10/23/2024
90448189;45461569;391031035;10/23/2024
76501280;44015839;411273217;10/23/2024
113485921;44252678;44252678;9/6/2024
111773946;45763881;430280877;10/23/2024
