
UC;NEW_NIO;OLD_NIO;DATA
75942119;44714940;342641639;10/15/24
20920105;44714750;352541793;10/15/24
8399417;44714747;752945635;10/15/24
74162594;44714751;933640632;10/15/24
74550853;44714749;250143441;10/15/24
102161127;45461433;361733577;10/16/24
83909680;45461428;324333541;10/16/24
22876553;44714718;390673269;10/16/24
25894587;45461415;421077876;10/16/24
57568766;45456652;390134806;10/16/24
8439494;45456651;212130518;10/16/24
22693319;45456646;211330338;10/16/24
32031106;45456658;853830081;10/16/24
8438625;45456653;342133810;10/16/24
85131350;45456647;312832224;10/16/24
101602391;45456649;362430341;10/16/24
38523485;44715406;210641591;10/16/24
75434806;44715410;284640232;10/16/24
62128876;44715409;232741375;10/16/24
39973794;45456645;961430794;10/16/24
45837201;45458375;222632858;10/16/24
57965374;44708697;331940943;10/16/24
82673225;45458377;331941392;10/16/24
62577565;44710679;412079836;10/16/24
8333602;44709574;880840940;10/16/24
51049040;45456634;232830915;10/16/24
49193228;45456629;200432136;10/16/24
90661605;44711650;311943109;10/16/24
101939850;45458325;370230178;10/16/24
104158298;45458330;334043221;10/16/24
100670547;44714682;352541688;10/16/24
8333580;45458327;804635167;10/16/24
56499892;45458331;244030180;10/16/24
101247290;44714684;342641697;10/16/24
91788110;45257262;312930341;10/16/24
90806182;45257257;342630955;10/16/24
71643389;45257250;940830101;10/16/24
83522034;45257251;210532119;10/16/24
77056116;45257254;400788808;10/16/24
8439915;45257258;400788806;10/16/24
35895926;44715205;311940085;10/16/24
42884691;45257260;401331429;10/16/24
49010603;44715203;342641432;10/16/24
65160592;44715595;884041789;10/16/24
76128245;44715592;930840430;10/16/24
71310134;44714724;982640147;10/16/24
35269200;44714726;390143474;10/16/24
8437572;44714727;821741206;10/16/24
8437580;44714722;982342774;10/16/24
89767004;44711731;411979278;10/16/24
108693449;45257351;411376755;10/16/24
80422861;45257350;391731523;10/16/24
88431428;44714692;291542398;10/16/24
54339294;45456853;372143710;10/16/24
60955058;45456847;250233525;10/16/24
78710936;45257353;250233520;10/16/24
70865167;45257175;232434275;10/16/24
42006023;44707272;994541064;10/16/24
88334031;45457482;260333416;10/16/24
73507164;45457483;300931712;10/16/24
88681360;44707214;422480020;10/16/24
58643273;45459304;200930002;10/16/24
83664718;45458301;990332457;10/16/24
90159128;45457480;310530831;10/16/24
82589798;45458288;282633575;10/16/24
64616266;45458285;220930656;10/16/24
112839053;44715395;430180017;10/16/24
83710779;45458289;253430831;10/16/24
99987988;45257646;273330323;10/16/24
94457964;45257641;331431972;10/16/24
106561626;45257648;391931107;10/16/24
109642856;45257647;413378358;10/16/24
107939258;45257640;391031220;10/16/24
105795410;45457276;390731806;10/16/24
106367714;45457275;410877246;10/16/24
105508870;45457279;391731487;10/16/24
29175011;45460736;301932900;10/16/24
96328533;45460742;340632301;10/16/24
98838466;45460743;312831546;10/16/24
86860950;44715417;301642112;10/16/24
96422734;44715437;390873002;10/16/24
112186440;44715440;431179730;10/16/24
8209804;44570527;401469932;10/16/24
69554056;44715438;860640887;10/16/24
54346533;45461455;241733178;10/16/24
87090830;44715091;260332408;10/16/24
88945359;44715090;911441388;10/16/24
84080728;44715093;822040876;10/16/24
90149629;44715077;951240671;10/16/24
89567544;44715088;944041076;10/16/24
84158816;44715079;264740352;10/16/24
101597134;45457254;430778358;10/16/24
99157241;45457252;312831776;10/16/24
96895870;45457248;341830543;10/16/24
94255318;45457245;331231731;10/16/24
103210822;44708946;352142512;10/16/24
96248599;45457249;330632210;10/16/24
97028657;45457250;341833722;10/16/24
93876548;45457246;331232767;10/16/24
97895717;45457251;350133849;10/16/24
91605296;45457247;312932621;10/16/24
93280696;45457253;370141743;10/16/24
88728994;44282625;362433871;10/16/24
103709185;44282627;370733068;10/16/24
68068158;44714978;773745416;10/16/24
8117934;44715389;860440601;10/16/24
8117969;44715388;270840565;10/16/24
87353261;45458604;973230201;10/16/24
84975504;45458607;963531331;10/16/24
68104170;45255667;963131998;10/16/24
32489595;45458882;244031096;10/16/24
91470773;45255660;312131382;10/16/24
93757140;44715192;400142647;10/16/24
33511098;45255666;212230051;10/16/24
97250929;45458160;400788582;10/16/24
58611100;44714794;413180858;10/16/24
37639307;45458159;980432453;10/16/24
36492795;45458158;953531323;10/16/24
47241349;45458173;294230263;10/16/24
41947037;45458169;211330138;10/16/24
8417350;45458163;864231210;10/16/24
96357290;45458174;413079628;10/16/24
102145229;45458170;370231398;10/16/24
82886601;45458167;421078909;10/16/24
78422264;45458162;274731429;10/16/24
79510558;45458165;280932210;10/16/24
93358830;44715253;390872813;10/16/24
112069665;44715375;431180777;10/16/24
91994594;44708609;311244036;10/16/24
92481981;45460424;324031395;10/16/24
97879380;45457263;350134354;10/16/24
91981433;45457257;410676644;10/16/24
109853202;45460469;415076250;10/16/24
104924640;45460468;392331038;10/16/24
96489065;45460467;312830281;10/16/24
104142693;45460465;381332334;10/16/24
94852596;45460470;333840903;10/16/24
83062076;45456594;282731159;10/16/24
57092354;45456595;244431023;10/16/24
69739200;45456589;240931265;10/16/24
